cluster,result,time,noq,penalties,Score
2,0,3,0,0.02,3
3,-1,2,1,0.05,4
4,-1,1,2,0.08,2
2,0,4,3,0.08,1
1,0,4,4,0.08,2
2,0,5,5,0.08,3
3,0,1,6,0.08,4
4,0,2,7,0.08,5
5,0,4,8,0.08,5
5,-1,1,9,0.18,5
5,0,2,10,0.18,4
4,0,3,11,0.18,5
5,-1,5,12,0.35,4
4,-1,2,13,0.5,3
3,0,4,14,0.5,4
4,0,2,15,0.5,4
4,-1,5,16,0.71,3
3,0,3,17,0.71,4
4,0,5,18,0.71,3
3,-1,4,19,0.94,2
2,0,5,20,0.94,2
3,0,4,21,0.94,4
4,0,5,22,0.94,4
4,0,2,23,0.94,5
5,-1,1,24,1.19,4
4,-1,4,25,1.48,3
3,0,4,26,1.48,3
3,-1,5,27,1.8,3
3,-1,2,28,2.1,2
2,0,5,29,2.1,2
2,-1,3,30,2.43,1
1,0,3,31,2.43,2
2,-1,4,32,2.79,1
1,0,5,33,2.79,1
1,-1,3,34,3.16,1
1,-1,2,35,3.53,1
1,0,3,36,3.53,1
1,0,2,37,3.53,2
2,0,2,38,3.53,3
3,0,5,39,3.53,3
3,0,2,40,3.53,4
4,0,4,41,3.53,4
5,0,3,42,3.53,5
5,-1,3,43,3.99,5
5,-1,4,44,4.47,4
4,0,5,45,4.47,4
4,0,3,46,4.47,3
3,0,5,47,4.47,3
3,-1,5,48,5,1
1,0,5,49,5,2
2,0,5,50,5,2
