cluster,result(-1 wrong 0 right,time(5 best 1 worst),noq,penalties,Score
3,-1,2,5,,2
4,0,4,8,,5
1,-1,1,1,,1
5,0,1,2,,4
2,0,3,6,,3
1,0,5,3,,3
2,-1,2,4,,1
3,-1,3,6,,3
4,-1,3,5,,4
2,0,5,4,,3
1,0,5,3,,3
4,-1,1,2,,2
3,0,1,7,,4
2,-1,4,4,,2
3,-1,2,9,,4
4,1,5,9,,3
5,-1,2,6,,4
4,-1,4,2,,3
1,0,4,4,,2
3,-1,5,3,,3
2,0,5,6,,3
5,-1,1,6,,3
1,0,5,3,,1
3,0,3,5,,2
4,0,3,6,,5
2,0,4,8,,4
4,-1,3,5,,3
5,-1,3,3,,2
2,-1,1,3,,1
1,0,5,5,,1
1,0,2,4,,1
4,-1,5,6,,4
5,0,3,6,,5
5,-1,5,4,,4
3,0,1,4,,2
4,0,2,5,,4
3,0,4,6,,4
3,0,5,8,,5
3,-1,1,5,,1
2,0,5,4,,1
1,0,5,7,,2
3,-1,2,5,,2
3,-1,3,2,,1
5,-1,4,5,,3
4,0,3,9,,5
5,-1,2,1,,1
4,-1,3,5,,3
3,-1,2,4,,3
5,0,1,3,,2
3,-1,1,5,,2
2,0,3,3,,2
3,0,1,5,,1
4,-1,3,29,,3
5,-1,4,21,,5
3,0,3,10,,2
3,-1,4,15,,2
1,-1,5,10,,1
2,0,5,17,,3
5,0,5,13,,4
3,0,1,25,,1
2,-1,3,5,,1
4,-1,1,10,,1
3,0,3,15,,3
2,-1,4,4,,2
5,-1,3,15,,3
1,-1,4,18,,1
3,-1,1,24,,2
4,0,2,23,,4
5,0,1,36,,5
5,-1,1,25,,3
3,0,4,2,,4
4,0,2,6,,2
2,-1,3,27,,2
3,0,3,11,,4
2,0,1,6,,1
5,-1,1,4,,2
3,-1,3,7,,2
2,0,5,8,,4
1,-1,4,9,,1
5,-1,1,10,,4
4,-1,2,5,,3
3,-1,3,11,,2
1,-1,5,23,,1
3,0,4,6,,4
4,0,5,7,,4
2,0,1,11,,1
3,-1,3,21,,2
2,0,1,25,,2
1,0,1,25,,1
3,-1,3,5,,2
4,-1,1,23,,2
5,0,4,26,,4
5,0,3,13,,4
2,-1,2,27,,2
3,-1,5,6,,3
1,-1,2,14,,1
3,0,1,11,,2
4,-1,1,25,,2
5,0,1,11,,3
1,-1,5,23,,1
2,-1,3,14,,2
3,0,2,19,,4
5,-1,1,14,,2
4,-1,2,6,,1
3,0,4,15,,5
1,0,1,16,,1
2,0,3,14,,3
5,-1,5,13,,5
3,0,2,11,,2
4,0,3,10,,4
5,-1,3,24,,4
3,0,2,2,,2
1,0,4,15,,3
4,0,3,14,,4
3,-1,4,11,,2
3,-1,1,15,,1
2,0,3,11,,2
4,0,2,15,,3
3,-1,5,11,,3
2,0,3,11,,2
1,-1,5,17,,2
4,0,1,5,,3
3,-1,3,4,,2
3,0,4,3,,4
5,0,1,16,,5
2,0,2,11,,1
1,0,5,21,,3
3,-1,4,16,,3
4,0,2,7,,3
5,-1,1,14,,2
5,-1,4,5,,3
4,-1,3,6,,3
3,0,4,9,,4
1,0,5,14,,2
2,0,4,25,,4
3,-1,1,22,,1
4,-1,3,46,,4
5,-1,3,100,,5
3,0,4,123,,4
1,0,4,21,,3
2,-1,2,16,,2
4,0,1,89,,3
5,0,2,62,,4
3,-1,4,34,,2
2,0,1,51,,1
3,0,3,35,,3
4,-1,5,26,,4
3,0,5,29,,4
2,0,5,67,,4
4,-1,2,78,,2
5,-1,1,100,,3
4,0,2,25,,3
2,0,4,19,,3
3,0,5,111,,4
3,0,5,246,,5
4,-1,2,22,,3
5,-1,3,110,,5
2,0,4,132,,3
3,-1,1,150,,2
4,-1,2,10,,2
5,-1,1,32,,2
3,0,4,11,,4
2,0,3,111,,2
3,-1,2,67,,1
4,0,3,26,,4
5,-1,2,54,,3
3,0,3,56,,3
4,0,1,24,,3
3,-1,1,432,,3
2,-1,5,23,,2
1,0,1,46,,1
2,0,3,156,,2
4,-1,1,245,,3
2,0,4,244,,3
3,-1,1,43,,1
1,-1,4,132,,1
4,0,4,246,,5
3,0,5,165,,5
3,-1,3,321,,2
2,0,4,111,,3
5,0,1,154,,4
5,0,5,222,,5
4,-1,3,212,,4
2,0,5,221,,4
1,0,3,321,,1
3,-1,2,99,,1
4,-1,4,32,,3
4,0,1,56,,4
2,-1,1,54,,1
3,0,4,287,,4
3,0,5,215,,5
1,0,4,23,,3
3,-1,5,456,,3
4,-1,5,234,,4
5,0,1,231,,4
2,-1,1,145,,1
1,0,3,543,,2
2,-1,1,234,,1
3,0,2,11,,2
3,0,3,23,,4
4,-1,4,157,,4
5,0,1,234,,4
3,0,3,22,,2
1,0,1,151,,1
4,-1,4,321,,2
5,-1,1,555,,3
2,0,2,593,,2
3,-1,2,25,,1
4,0,3,358,,4
3,0,5,231,,5
2,-1,5,233,,1
4,-1,3,487,,2
5,-1,1,489,,1
3,0,3,21,,3
4,0,3,245,,5
1,-1,2,211,,1
1,0,1,244,,1
1,0,3,21,,2
5,0,1,234,,3
5,-1,1,134,,1
3,0,3,23,,4
3,-1,5,111,,2
5,0,2,153,,4
5,-1,5,276,,5
4,0,3,333,,4
4,0,3,252,,3
1,-1,5,222,,1
2,-1,4,214,,2
4,-1,2,367,,3
3,-1,1,444,,1
1,0,3,222,,2
1,0,4,452,,3
2,-1,5,17,,2
3,-1,3,192,,2
3,0,1,432,,3
4,0,3,333,,5
5,-1,3,223,,3
1,0,1,23,,1
1,0,4,242,,2
1,-1,3,233,,1
4,-1,4,199,,2
2,0,3,245,,3
3,0,1,478,,2
2,0,4,555,,3
2,0,4,134,,4
3,-1,4,249,,3
1,0,3,123,,2
2,-1,2,697,,1
5,-1,1,555,,3
4,0,3,222,,4
3,-1,1,589,,1
5,-1,3,294,,4
5,0,1,652,,4
3,-1,1,172,,1
5,0,3,563,,5
4,-1,4,371,,3
2,0,1,177,,1
2,-1,4,284,,2
4,0,3,571,,4
3,0,4,17,,5
1,-1,3,891,,1
2,0,2,344,,2
4,-1,2,301,,3
3,-1,4,302,,3
5,-1,2,309,,3
4,0,4,381,,4
3,-1,3,233,,2
4,0,5,111,,5
2,0,2,541,,1
3,-1,3,454,,3
3,0,4,468,,4
4,0,2,469,,4
4,0,3,470,,4
3,-1,3,226,,3
3,-1,4,225,,3
3,-1,4,224,,2
2,0,1,267,,2
1,0,4,356,,2
2,0,3,432,,3
4,-1,2,331,,2
5,-1,3,458,,4
3,-1,3,22,,3
1,0,2,1,,1
3,-1,5,22,,1
4,-1,1,456,,2
2,0,4,789,,3
1,0,5,658,,3
5,-1,5,227,,3
4,-1,4,652,,4
3,0,1,430,,3
4,0,2,590,,4
2,-1,5,22,,2
1,-1,2,222,,1
5,-1,1,42,,1
4,0,4,245,,4
2,0,5,785,,4
1,0,1,22,,1
4,-1,4,45,,2
2,0,5,678,,3
1,-1,1,630,,1
1,0,3,588,,2
2,-1,5,115,,2
5,0,4,584,,5
5,-1,4,617,,5
3,0,5,789,,4
2,0,1,647,,2
3,-1,2,274,,3
2,0,2,57,,2
2,-1,5,638,,2
3,-1,1,94,,3
4,0,1,742,,5
1,-1,2,247,,1
4,-1,1,269,,4
3,0,4,385,,4
1,0,5,16,,2
4,0,5,668,,5
1,-1,4,244,,1
5,0,4,569,,5
5,0,4,220,,5
3,-1,4,538,,3
2,0,3,332,,2
1,0,2,190,,2
5,0,5,287,,5
5,-1,4,397,,5
5,-1,5,443,,5
5,0,3,661,,5
3,0,2,152,,3
3,-1,2,711,,3
5,-1,5,491,,4
3,0,3,776,,4
1,-1,1,300,,1
4,0,2,315,,4
1,-1,3,203,,1
1,0,4,701,,1
1,0,3,563,,1
1,-1,4,299,,1
2,0,4,541,,3
4,-1,4,311,,3
5,0,3,262,,5
4,-1,4,196,,4
1,-1,3,525,,1
2,-1,1,191,,2
1,0,5,54,,2
4,-1,5,364,,4
1,-1,5,521,,1
1,0,4,574,,1
1,-1,3,749,,1
4,0,3,374,,4
2,-1,1,651,,2
5,0,5,213,,5
4,-1,2,408,,3
3,0,3,91,,3
1,0,5,82,,2
3,-1,1,377,,3
5,-1,5,226,,5
5,0,4,698,,5
5,-1,3,421,,5
2,-1,1,544,,2
3,0,1,414,,3
5,-1,4,56,,5
3,0,4,586,,3
3,-1,2,594,,3
1,0,3,290,,1
5,0,2,394,,5
4,0,1,613,,5
5,-1,5,346,,5
5,0,4,189,,5
3,-1,1,496,,3
1,-1,1,700,,1
1,0,1,574,,2
5,-1,3,442,,5
3,-1,5,463,,3
3,0,1,506,,4
5,0,1,296,,5
3,0,5,695,,4
3,0,4,682,,3
2,0,1,397,,3
5,-1,2,308,,5
4,-1,5,374,,4
4,-1,5,26,,4
4,0,5,124,,5
1,0,3,220,,1
2,0,2,138,,2
2,0,1,133,,2
3,0,1,535,,4
1,0,3,494,,1
4,0,5,756,,5
3,0,2,618,,4
5,-1,3,368,,5
5,-1,4,96,,5
1,0,2,343,,1
4,-1,1,162,,4
2,0,5,523,,3
4,0,4,98,,4
2,0,2,118,,2
2,0,5,675,,3
1,0,3,118,,2
5,-1,4,503,,4
1,0,3,396,,1
5,-1,4,487,,5
5,0,2,49,,5
3,-1,4,750,,3
5,0,5,23,,5
4,0,2,197,,4
3,-1,4,706,,2
1,0,5,356,,2
4,-1,2,638,,3
5,0,4,219,,5
2,-1,2,575,,2
5,0,2,348,,5
5,0,5,508,,5
5,-1,1,632,,5
5,-1,1,433,,5
5,0,3,428,,5
2,0,4,305,,2
4,0,4,734,,4
5,-1,4,174,,5
1,0,3,47,,1
5,0,1,797,,5
3,0,3,374,,3
1,0,2,344,,1
2,0,3,489,,3
5,0,1,310,,5
5,-1,5,155,,5
1,0,1,214,,2
1,-1,4,176,,1
2,-1,2,470,,1
3,0,4,107,,3
3,0,4,327,,3
1,0,3,552,,2
4,0,4,450,,4
4,0,1,555,,5
1,-1,1,270,,1
3,0,1,78,,4
4,0,3,480,,4
1,-1,5,394,,1
3,0,1,754,,4
4,0,1,84,,5
5,-1,4,525,,5
3,-1,2,400,,3
4,0,2,164,,4
1,0,5,208,,2
4,-1,3,408,,3
4,0,1,547,,5
3,0,5,318,,4
3,0,1,446,,4
3,0,2,680,,3
5,-1,4,139,,5
1,-1,2,304,,1
3,-1,5,274,,3
5,0,4,546,,5
1,-1,2,776,,1
4,0,3,103,,4
5,-1,2,24,,4
3,-1,5,428,,3
4,-1,3,269,,3
2,-1,2,450,,2
3,0,4,190,,3
2,0,2,3,,2
1,0,3,244,,2
1,0,3,129,,1
5,-1,2,535,,5
5,-1,4,84,,5
3,-1,3,179,,3
5,0,3,442,,5
1,-1,5,383,,1
3,-1,2,620,,2
4,-1,5,631,,4
4,-1,5,408,,4
3,0,1,741,,4
4,-1,4,460,,4
1,0,2,699,,1
3,-1,2,248,,2
3,-1,1,649,,3
3,0,1,284,,4
3,-1,2,240,,2
2,-1,5,359,,2
1,-1,4,477,,1
2,-1,5,143,,2
4,0,5,659,,5
3,-1,3,54,,3
4,-1,3,99,,4
2,0,2,234,,3
3,-1,1,647,,3
4,-1,4,214,,4
2,-1,2,416,,1
3,-1,2,234,,2
4,-1,5,382,,4
5,0,5,548,,5
4,-1,2,181,,3
2,-1,3,756,,1
4,-1,2,113,,4
5,0,1,263,,5
3,-1,4,78,,3
2,-1,4,236,,2
5,0,5,427,,5
1,0,3,539,,2
3,0,1,125,,4
5,0,1,640,,5
3,-1,1,181,,3
3,0,1,379,,4
2,0,4,714,,2
4,-1,2,186,,3
2,-1,4,85,,2
3,-1,1,439,,3
1,-1,1,792,,1
3,-1,4,6,,3
1,0,3,62,,2
5,0,1,51,,5
1,-1,3,754,,1
5,0,2,322,,5
5,-1,3,365,,4
2,-1,4,366,,1
2,0,3,282,,2
4,0,2,689,,5
3,-1,2,36,,2
3,-1,4,185,,3
5,-1,4,468,,5
2,0,2,176,,3
1,-1,3,363,,1
2,0,3,200,,3
4,-1,4,72,,4
1,0,4,160,,1
5,-1,3,78,,5
4,0,2,97,,4
1,-1,3,726,,1
3,0,4,780,,3
4,-1,1,146,,4
1,-1,3,327,,1
3,0,1,653,,4
1,0,3,785,,1
2,0,2,126,,2
4,0,1,153,,5
5,-1,1,95,,5
1,-1,3,275,,1
3,0,4,260,,3
3,0,2,420,,3
5,-1,3,216,,4
2,0,2,417,,2
4,0,5,607,,5
4,-1,2,675,,3
3,0,2,365,,4
3,0,3,622,,3
4,-1,5,179,,4
5,0,1,203,,5
2,-1,4,575,,2
2,0,2,92,,2
3,-1,1,437,,3
4,-1,1,784,,4
1,-1,1,355,,1
1,-1,5,98,,1
5,-1,4,607,,5
2,0,1,719,,3
1,-1,5,676,,1
5,0,4,44,,5
1,-1,3,307,,1
1,0,5,195,,2
2,0,4,467,,2
3,0,2,64,,3
5,0,2,354,,5
5,-1,3,60,,4
1,-1,5,662,,1
5,0,2,213,,5
3,0,2,76,,3
5,0,1,12,,5
2,-1,4,657,,1
4,0,2,314,,4
5,0,2,300,,5
4,0,5,96,,5
1,-1,4,464,,1
1,0,2,39,,2
1,-1,3,86,,1
3,-1,3,371,,2
1,0,2,282,,1
2,0,4,668,,2
2,0,5,763,,3
2,0,3,139,,2
3,0,2,278,,3
2,-1,3,539,,1
1,-1,2,407,,1
3,-1,5,166,,3
4,0,2,497,,4
2,0,2,323,,2
4,0,4,381,,4
3,-1,3,87,,2
4,-1,2,92,,3
2,0,4,654,,2
5,0,4,241,,5
2,-1,3,291,,2
2,-1,4,465,,2
5,-1,3,245,,5
1,-1,4,30,,1
4,0,2,582,,4
5,-1,4,443,,4
4,0,1,52,,4
1,-1,2,686,,1
1,-1,3,59,,1
4,-1,4,440,,4
2,0,2,487,,3
1,0,2,298,,1
3,0,4,739,,3
3,-1,1,348,,3
4,0,4,790,,4
5,-1,4,685,,4
5,-1,5,612,,5
5,0,3,191,,5
4,-1,1,532,,4
2,-1,1,413,,2
3,-1,4,560,,2
1,0,3,589,,1
4,-1,4,405,,4
3,-1,4,177,,3
5,-1,1,587,,5
2,-1,1,644,,2
5,0,5,542,,5
1,0,3,364,,1
1,0,5,202,,2
3,0,4,718,,3
1,0,1,454,,2
2,-1,4,658,,1
2,-1,2,664,,2
5,-1,1,786,,5
5,0,1,22,,5
5,0,5,110,,5
3,-1,1,421,,3
3,-1,5,742,,2
5,-1,5,260,,4
1,-1,5,770,,1
4,0,3,240,,4
4,-1,2,522,,3
3,0,2,162,,4
4,-1,3,404,,4
3,0,4,736,,3
3,-1,4,250,,3
4,0,1,285,,5
2,-1,5,739,,2
3,-1,4,74,,3
5,-1,4,321,,5
5,0,2,373,,5
1,0,5,349,,2
3,-1,5,60,,3
3,-1,5,762,,3
5,-1,5,497,,5
1,-1,3,74,,1
1,-1,3,136,,1
5,0,3,749,,5
5,-1,5,497,,5
3,-1,2,589,,3
4,-1,4,730,,4
2,0,3,450,,2
3,0,2,141,,3
1,0,4,340,,1
1,-1,2,506,,1
3,-1,1,328,,3
5,-1,4,373,,5
2,0,2,471,,2
3,-1,4,289,,2
4,0,1,208,,5
5,-1,4,686,,5
2,-1,5,220,,1
2,-1,1,565,,2
1,-1,2,3,,1
2,0,1,674,,3
1,0,2,68,,1
2,-1,4,340,,1
2,-1,1,228,,2
4,-1,4,355,,4
1,-1,1,694,,1
5,0,5,711,,5
4,0,3,272,,5
4,0,3,274,,4
2,-1,1,605,,2
5,-1,5,440,,5
2,0,1,56,,2
3,0,1,21,,3
3,-1,3,734,,2
5,-1,4,652,,5
2,0,5,453,,3
3,-1,2,64,,2
2,-1,1,183,,2
2,-1,3,346,,2
4,-1,5,83,,3
5,-1,4,455,,4
1,0,2,138,,1
3,0,4,501,,4
3,0,4,150,,3
2,0,3,91,,3
1,0,1,329,,2
2,-1,4,575,,2
4,0,5,250,,5
4,-1,1,729,,4
5,0,4,720,,5
4,0,5,733,,5
4,0,3,782,,5
5,0,2,314,,5
4,-1,3,681,,3
5,0,2,213,,5
1,-1,5,721,,1
3,-1,5,551,,3
5,-1,4,475,,4
4,-1,4,428,,4
2,-1,5,443,,1
2,-1,2,271,,1
2,0,3,126,,2
4,-1,5,707,,4
4,0,5,695,,5
5,0,4,736,,5
1,-1,5,319,,1
1,-1,5,649,,1
4,-1,2,358,,3
2,0,2,344,,2
5,0,4,510,,5
3,0,2,585,,3
1,0,2,524,,1
2,-1,1,379,,2
4,0,2,668,,4
3,0,4,798,,3
4,0,4,714,,4
5,0,2,853,,5
3,0,3,704,,3
3,-1,3,927,,2
5,0,3,412,,5
1,0,2,195,,1
1,0,2,321,,1
2,-1,5,513,,2
4,0,5,605,,5
2,0,3,762,,2
3,0,3,861,,3
3,-1,2,709,,3
2,0,5,667,,3
4,0,1,580,,5
4,-1,3,829,,3
3,0,5,976,,4
3,0,2,173,,3
3,0,2,727,,3
2,0,2,426,,3
4,-1,1,553,,4
5,-1,5,192,,5
4,-1,3,399,,3
1,-1,3,201,,1
3,-1,3,775,,3
1,0,2,206,,1
1,-1,5,856,,1
3,-1,5,355,,3
5,0,4,123,,5
1,-1,2,86,,1
2,-1,1,776,,2
1,-1,1,301,,1
3,-1,2,234,,3
4,-1,1,267,,4
2,-1,5,150,,1
3,-1,5,660,,2
1,0,3,247,,2
5,-1,3,989,,4
4,-1,5,749,,4
4,0,4,988,,4
4,0,4,729,,4
1,0,1,219,,2
4,0,1,351,,5
4,-1,1,200,,4
4,-1,2,153,,4
4,0,1,669,,5
3,0,3,399,,4
3,-1,3,808,,2
2,-1,1,339,,2
3,-1,4,153,,3
1,0,4,470,,2
1,-1,4,831,,1
3,-1,2,546,,2
1,0,3,352,,2
3,0,5,958,,4
1,-1,1,447,,1
4,0,1,909,,4
3,-1,4,972,,3
3,-1,4,687,,2
1,-1,2,265,,1
2,0,1,752,,3
2,-1,5,176,,2
5,-1,4,716,,4
5,-1,3,373,,4
3,-1,5,885,,3
3,-1,5,119,,3
1,-1,5,511,,1
2,-1,3,172,,1
2,0,4,385,,2
2,-1,4,398,,1
2,0,4,730,,2
2,0,5,365,,3
3,-1,2,504,,2
3,0,1,230,,4
1,-1,4,368,,1
2,-1,2,371,,1
5,0,4,285,,5
4,0,4,229,,4
3,0,5,642,,4
3,0,1,871,,3
4,-1,4,210,,4
4,0,2,688,,4
1,0,5,32,,2
4,-1,3,147,,4
2,0,1,671,,3
4,0,4,428,,4
4,-1,4,135,,3
1,-1,3,375,,1
4,-1,3,364,,4
5,0,4,350,,5
4,-1,5,547,,4
5,-1,2,42,,5
5,-1,3,757,,5
5,0,4,40,,5
5,0,5,806,,5
2,0,1,240,,2
4,0,3,625,,4
3,-1,5,947,,3
1,-1,4,563,,1
2,-1,1,653,,2
2,-1,4,290,,2
3,0,3,890,,3
2,0,1,499,,3
2,-1,5,681,,2
4,-1,3,577,,3
1,-1,3,906,,1
4,0,1,236,,5
1,0,2,287,,1
1,0,4,731,,1
1,0,3,737,,2
1,-1,2,379,,1
3,-1,3,852,,2
1,0,2,461,,2
5,-1,2,601,,4
1,-1,3,115,,1
3,-1,1,510,,3
4,0,1,66,,4
4,-1,5,189,,4
4,-1,5,286,,4
